artist,price,date,venue,songid1,songid2
Jenny Lewis,$49.95-$99.50,09-24-2018,Red Rocks Amphitheatre,2rKVo2Gl8CrLlFxMu40zCX,5YdrHBh16li6d7U5mdTwUb
Beck,$49.95-$99.50,09-24-2018,Red Rocks Amphitheatre,5PntSbMHC1ud6Vvl8x56qd,28AgTOIZke8nitD0NNeb3G
Talib Kweli,$39.50-$199.50,09-26-2018,Red Rocks Amphitheatre,1LM6EReMkAxuDXDF26ekl2,26xtHEq40YTfjAij523Ml6
Ms. Lauryn Hill,$39.50-$199.50,09-26-2018,Red Rocks Amphitheatre,0uEp9E98JB5awlA084uaIg,2VjXGuPVVxyhMgER3Uz2Fe
Shabazz Palaces,$39.50-$199.50,09-26-2018,Red Rocks Amphitheatre,4UIfBRnJoiGeQhBec0mHm0,5kC3aAeAh0RNAn7D6JMU94
Santigold,$39.50-$199.50,09-26-2018,Red Rocks Amphitheatre,0t2QiRkpag0fAgs9zuCPlH,6K2QpUqvNLchsEqRy1iOTW
Big Gigantic,$49.75-$89.50,09-28-2018,Red Rocks Amphitheatre,2HiH7eMk9aokfnIEFzWiMq,68iIALIAQ03juj9BZpafox
Patty Griffin,$38.95-$75,09-30-2018,Red Rocks Amphitheatre,7Guwk9x2j11UYR4mOaJvfx,4PPwq1IMeo4pgMv3C0jmys
Gregory Alan Isakov,$38.95-$75,09-30-2018,Red Rocks Amphitheatre,2wDuq7nBkGJjO4ykq3aJ4D,3Kj2EWpIBnvETsYq4cq0IH
Ben Howard,$42-$85,10-01-2018,Red Rocks Amphitheatre,2uhEKg8kIzpdvz4gyy6x8W,3CAX47TnPqTujLIQTw8nwI
Wye Oak,$42-$85,10-01-2018,Red Rocks Amphitheatre,3Nv2y43XxgSjqChhuhL9In,7630alXL5HfQAHQhBam5pJ
Ozzy Osbourne,$39.50-$250,10-02-2018,Pepsi Center,2b9lp5A6CqSzwOrBfAFhof,0S3gpZzlT9Hb7CCSV2owX7
Snails,$39-$75,10-05-2018,Red Rocks Amphitheatre,4TBkWyEx4FCuyxLtMm5r3b,3ZbsXBvUJ9mUTqnKH95fwF
Moon Taxi,$54.50-$79.50,10-06-2018,Red Rocks Amphitheatre,5huOzlgCK7PsMSG4TFBvKY,2FuPPSFmGj4XIJepeHwz7D
Walk the Moon,$54.50-$79.50,10-06-2018,Red Rocks Amphitheatre,4kbj5MwxO1bq9wjT5g9HaA,0iQ77tSa7ncj7zBPtVx6cU
Ozuna,$49-$139,10-07-2018,Pepsi Center,1s2B5cndbqK8rPJEIcKJRQ,6752EZMgXswvRBH3N2PilO
Vince Staples,$79.50-$129.50,10-09-2018,Pepsi Center,7uX3gufAoBVqKVoD3dBLLD,7bUcBztfGqO7cSI2gMZeCI
Childish Gambino,$79.50-$129.50,10-09-2018,Pepsi Center,4j3GWI86JvSaF0BLdmgcfF,0b9oOr2ZgvyQu88wzixux9
The National,$49.95-89.50,10-09-2018,Red Rocks Amphitheatre,7rbCL7W893Zonbfnevku5s,1HAzsv7VCvbgqrpenTRWj1
Sharon Van Etten,$49.95-89.50,10-09-2018,Red Rocks Amphitheatre,38ydcsbayM4oX21Hhu84DT,0Sg9bWEaPtDO2JE7qwcMvy
Foo Fighters,$59-$99,10-10-2018,Pepsi Center,5UWwZ5lm5PKu6eKsHAGxOk,7x8dCjCr0x6x2lXKujYD34
Gang of Youths,$59-$99,10-10-2018,Pepsi Center,7DPQwyMQADl9Y8oSvSVpfg,5f37ixzmpPfGTFytUM66dx
Seven Lions,$30-$80,10-11-2018,Red Rocks Amphitheatre,5ZQMiwA8y8BEslhMmtLxLv,6BDLcvvtyJD2vnXRDi1IjQ
Rezz,$35-$80,10-13-2018,Red Rocks Amphitheatre,4pCvnGkf7jveRMKHZosxxB,7mGgDEGaQ1fiLa1KSHvVc4
J Balvin,$39.95-$350,10-14-2018,Pepsi Center,58q2HKrzhC3ozto2nDdN4z,39N9RPD9MRb5WmoLzNzPeA
DVBBS,$45-$85,10-19-2018,Red Rocks Amphitheatre,4ABdTWafMCXfATpILRuZFW,3EBkSsvod8DflnNLGvx0QR
Blackbear,$45-$85,10-19-2018,Red Rocks Amphitheatre,3Q3myFA7q4Op95DOpHplaY,6y6jbcPG4Yn3Du4moXaenr
Christina Aguilera,$59.50-$175,10-19-2018,Pepsi Center,6Vc5wAMmXdKIAM7WUoEb7N,29zBeRiLVnkDEj7tvmLVOU
Excision,$45.75-$100,10-20-2018,Red Rocks Amphitheatre,1dlJQt9NLH5iFCIeiVz5lX,6srThv0baveLRq4do7nRGB
SKisM,$45.75-$100,10-20-2018,Red Rocks Amphitheatre,1wc4jacT5atY84Z7dbmPzz,6puWOoY5pvOoycq5RDSrO5
Trampa,$45.75-$100,10-20-2018,Red Rocks Amphitheatre,2evQmH8nJCkZl1pJMDFhJI,2fm0inRUDbId46Go7RgAhu
Barely Alive,$45.75-$100,10-20-2018,Red Rocks Amphitheatre,0xR96sIvW6tYr7pRXuTKqM,5UgQQdrkzcMHRTBJWE4y5u
Phaseone,$45.75-$100,10-20-2018,Red Rocks Amphitheatre,5OjDgjZxhYzFEHF4DhBJTk,7AM3ibUEkMXgS0P2DDN6tt
A Perfect Circle,$39.50 - $79.50,10-22-2018,Red Rocks Amphitheatre,5KDNFlHAdDJ84fhK27c35X,3sPpTsMNzlyJJx9LLJFT0e
ZHU,$46.50-$89.50,10-26-2018,Red Rocks Amphitheatre,2NDZ6i6UfOUSKgFiTQKbnv,2HJQcyUpmUuvzS5vBAICIc
Idina Menzel,$59.50-$199,10-30-2018,Pepsi Center,0qcr5FMsEO85NAQjrlDRKo,70b5Sq3ePOu3Gqg0hjlOtR
Josh Groban,$59.50-$199,10-30-2018,Pepsi Center,4t90YkTzNWjis7HM2NqQLQ,4TbNLKRLKlxZDlS0pu7Lsy
