artist,price,date,venue,songid1,songid2,deleted
Ben Rector,$44.75-$84.75,12-04-2018,Fillmore Auditorium,1Yqovy9hlOeV91IY3Bhcf2,3IpG4SvqxHmbZslvDSIIZP,False
Matt Nathanson,$44.75-$84.75,12-04-2018,Fillmore Auditorium,38YgZVHPWOWsKrsCXz6JyP,5BvP31Kxf5R5WIuwbcQDDT,False
The English Beat,$26.50-$29,12-10-2018,Gothic Theatre,5rBOBI3INEw0u0rwNNGib5,3LUhdkixxrrqv3nfNfkINe,False
Tokimonsta,$29.75-$39.75,12-29-2018,Fillmore Auditorium,3kqsetsOxWWCkE3UrbZCGV,72oRRHjGtmEjntXy2r0mAE,False
DeVotchKa,$25.50-$29,12-30-2018,Bluebird Theater,1Po2cMkzVblh10Lg3GimtJ,127dZoLOYo7zA2bXXs8hav,False
Mark Farina,$59.75-$69.75,12-31-2018,Fillmore Auditorium,4Hi9ZjMdPFx8Jb43YYOY4Q,3be3cYFQXmPnR326xkKoDU,False
Mick Jenkins,$22.95/$25,01-15-2019,Bluebird Theater,6Bqn71zg1dznO7Ck8ykEWc,5x886ETFn4nUihXbxlO3cb,False
Railroad Earth,$36.95,01-18-2019,Ogden Theatre,3oSdxIGuxOHZ7pTNKKXGDb,2pWLzxRYMR53uC95fRzJbe,False
Steel Panther,$10.79,01-19-2019,Fillmore Auditorium,6b2eZuiWSqsjwXtpN2605Z,5uLPQcDkM3DOte545R8JK5,False
Black Tiger Sex Machine,$20-$30,01-25-2019,Ogden Theatre,5iB761X3TeqOC9crMrKIrf,3h3nlfgeLsjWW5otfkXUWo,False
Too Many Zooz,$26.75,01-26-2019,Fillmore Auditorium,5ElvxQOgTTUTjVfa1uhhFv,4LYlim7K0XmAxgeES3Oddk,False
Chris Karns,$26.75,01-26-2019,Fillmore Auditorium,5B9YEwmrxWRpPeMttmHClH,56sjVjtDrztoR2yaB7nTIT,False
The Hip Abduction,$26.75,01-26-2019,Fillmore Auditorium,4oOIqg7LHDROo5w9OXV2Du,7IPRKO72vnUSWGeJGV5rx6,False
SunSquabi,$26.75,01-26-2019,Fillmore Auditorium,35Dkvt4pKDEVrxtT7U8lyx,0PixrKu6hDBnpMEWnWaJg9,False
YG,$39.95,01-30-2019,Ogden Theatre,0ZNrc4kNeQYD9koZ3KvCsy,3i1B1PnsfnOQPGVIzhf1lr,False
Cycles,$12-$15,02-02-2019,Bluebird Theater,3vpSepOYLB6Of8MzTVACV3,5WjIlePjK7I4OgB904r0GN,False
