artist,price,date,venue,songid1,songid2,deleted
STS9,$29.75-$39.75,12-28-2018,Fillmore Auditorium,6YoFJXgtRziHwv0sS2PNkV,6u5DUWiBBfMbi69uIkPgbP,False
Gogol Bordello,$35-$40,12-28-2018,Ogden Theatre,3ZfHVIkXhsiPxaugiJY9lc,5lhl1BuBHERehZokNToaJz,False
STS9,$29.75-$39.75,12-29-2018,Fillmore Auditorium,6YoFJXgtRziHwv0sS2PNkV,6u5DUWiBBfMbi69uIkPgbP,False
STS9,$59.75-$69.75,12-31-2018,Fillmore Auditorium,6YoFJXgtRziHwv0sS2PNkV,6u5DUWiBBfMbi69uIkPgbP,False
Lower Class Brats,$35,12-31-2018,Gothic Theatre,0nSBJxNn7yrIT9q5fAhCuU,0ZDIoQN7Ciw2kVACnyRfTl,False
Youth Brigade,$35,12-31-2018,Gothic Theatre,16uvG9NQsrhrmkAc23rbuU,68IGRcJCh3koLl4bNEnCWT,False
Shane Smith & The Saints,$17/$20,01-03-2019,Bluebird Theater,46fHLVEQBcyC8VjnmdDF3q,1UMceVu1QG1jBag01WhRKy,False
American Aquarium,$18,01-04-2019,Bluebird Theater,2PXumYrwMjU2lF5yxFVYhs,452hlsi0Vxm8Tbu0FIb9zD,False
En Vogue,$44.50/VIP $75,01-05-2019,Ogden Theatre,06TuMCjDEYjTOJScCRzmjf,3ZqjDpr3qCZnZBPcd0Hpj2,False
Chris Knight,$25/$27,01-05-2019,Bluebird Theater,3FHzMLL7hgeGdzLf6J6ajS,3v2i7PcozrbyG7dR0kaGyS,False
Mustard Plug,$17,01-11-2019,Bluebird Theater,12GEszobr92vUXs4LCdwjK,2saGaQtvSp9j6c70961ZsH,False
Desert Dwellers,$22,01-12-2019,Ogden Theatre,7wqFdWJyNGOFA6Khg9E1rC,4bMDVBZH9UfbTnORFUa1sm,False
Bluetech,$22,01-12-2019,Ogden Theatre,3fzcVD4XkbTZXmk8LCR8Kp,44JL7eQyRezLKcw8SF7USw,False
Living Light,$22,01-12-2019,Ogden Theatre,7HPiXgIdDja6rsFatfu7CX,4KcKHkcGiozx2HFSIEo8ha,False
Wild Child,$20/$22,01-16-2019,Bluebird Theater,1kYeZHJpBpbGQPlF9jznCs,0alXWwTcr1reJRYkhjauN1,False
Thursday,$35/$40,01-19-2019,Bluebird Theater,4pBfU4RSvH0NzjEr2OgjWn,43CG5O08Tj6ODmSWQ9pfvF,False
RJD2,$15-$20,01-20-2019,Ogden Theatre,5Nn2Dj7OQsGL6pgQ9iIzPp,6gifrVamdnrYxkXPV6ul0k,False
Xavier Omär,$25,01-23-2019,Gothic Theatre,0DQQRJ4sR3pxwom9L7D7QR,2zIkPM6r0yEjWt18qG3jP3,False
NAO,$25,01-23-2019,Gothic Theatre,2mssuAa5xshIx2c06p1c2F,0VXinRGqxFxr1BKrOrC9pP,False
Rastasaurus,$25.75 - $29.75,01-25-2019,Gothic Theatre,6b5bvZpgfGRJmvm7vk1OTp,2IIkvbaAHDH9YUHPsHeB1Q,False
The Wailers,$25.75 - $29.75,01-25-2019,Gothic Theatre,4MGa3uO14yw16f8IPKnLZ6,2Mw8xQJpIDAgrktDXEqxCs,False
Los Stellarians,$27.50/$30,01-26-2019,Bluebird Theater,1F1eej3loHdoXtJn4PZ1Qw,0iIekX03JRBgrf8pB5BDkq,False
Guardin,$20,01-30-2019,Bluebird Theater,2c8MkcfL0xKVZxGNtA2s1H,0iB2sc8UVkFTArbpDE4C0F,False
Mallrat,$20,01-30-2019,Bluebird Theater,706J9prVXY8vZHhp9VGiBE,6RMMWRA9UY9D8DlPNSUytf,False
Gnash,$20,01-30-2019,Bluebird Theater,7vRriwrloYVaoAe3a9wJHe,12gnUTEnxL6PYN06RX2Je1,False
Herobust,$25-$30,02-01-2019,Ogden Theatre,4OLzgDQn3SrBmbE5i8vplt,07LCO1xsdnd1epIsqGAMz3,False
DMVU,$25-$30,02-01-2019,Ogden Theatre,16DgkWhsWTPQtVXaCLOdWE,6UKcbweUBjE793imsCsmHd,False
Jesse McCartney,$32.50-$35/VIP $100,02-04-2019,Ogden Theatre,1HwpWwa6bnqqRhK8agG4RS,72JSy2MFkMCF3gkE3dCfjH,False
The Districts,$16,02-04-2019,Bluebird Theater,3typDlnoH7DNoFXUaXq3Jr,2wb2FptR9dbAw9TIQpMfZ1,False
LP,$25,02-05-2019,Ogden Theatre,2LIh4uzqq9cXMPzzmcToHl,1bb9eogTs9f8FrxlQ8Rvr2,False
Thutmose,$22.50/$25,02-05-2019,Bluebird Theater,62crJjeje0T8g5N3Tuq00V,04fnlzZLqEIgzKdMxzjT1V,False
MadeinTYO,$22.50/$25,02-05-2019,Bluebird Theater,2EUNZfjPToKZIahK0WMLKd,07pJdL0L9XDGW0HBj0rIS2,False
The Knocks,$20.75-$22.75,02-06-2019,Bluebird Theater,38Zr5Q5O5o6CYaioIRHSqL,2HuSaKSnkvSaRQviRm1glh,False
Guster,$30-$35,02-07-2019,Ogden Theatre,14j4diRlUSWvbq5t0rgR6b,3ZpvTsq2rr5XwOGs4ulOMA,False
Chris Robinson Brotherhood,$25/$30,02-08-2019,Ogden Theatre,2NkfqqY3ExmXglY35OXNWa,49WVvCYHSd4aert7dNKOQr,False
The Funk Hunters,$22.50,02-09-2019,Ogden Theatre,64sWFVn4OwvOo6Uz2UR3rA,5bhMAZMpJPFVxAJTGcVHk2,False
Pedro the Lion,$22/$25,02-10-2019,Bluebird Theater,3QWzdv9myjbHl6GPYGWyV9,2fNYJ4O6d4sn84wbFm7ifH,False
